,,RANK,CITY,1BEDROOM,M/M,2BEDROOM,M/M
0,,4,"Toronto, ON","$2,231",-0.5%,"$2,735",+0.2%
1,,2,"Vancouver, BC","$1,886",+3.2%,"$2,709",-7.1%
2,,3,"Etobicoke, ON","$1,925",13%,"$2,453",+2.6%
3,,4,"North York, ON","$1,879",+4.5%,"$2,405",45.1%
4,,5,"Burnaby, BC","$1,553",+4.9%,"$2,340","+4,3%"
5,,6,"Richmond Hill, ON",$1780,-5.0%,"$2,332",+0.9%
6,,7,"Markham, ON",$1749,+0.5%,"$2,325",+10.2%
7,,8,"Mississauga, ON","$1,841",+41%,"$2,245",46.9%
8,,9,"Oakville, ON","$1,785",+0.5%,$2138,+1.0%
9,,10,"Ottawa, ON","$1,617",12.5%,"$2,099",42.1%
10,,"""","Scarborough, ON","$1,580",+3.6%,"$1,926",41.8%
11,,12,"Burlington, ON","$1,706",+0.3%,"$1,851",45.4%
12,,13,"Langley, BC","$1,610",+7.8%,"$1,795",+3.9%
13,,14,"Victoria, BC","$1,368",+1.9%,"$1,746",12.5%
14,,45,"Kelowna, BC","$1,232",-2.8%,N/A,N/A
15,,16,"Brampton, ON","$1,571",4.9%,"$1,692",
16,,17,"Barrie, ON","$1,481",-2.3%,"$1,651",41.2%
17,,18,"Montréal, @C","$1,269",17.9%,"$1,624",10.7%
18,,19,"Oshawa, ON","$1,204",4.5%,"$1,596",+0.4%
19,,20,"Halifax, NS","$1,139",+3.4%,"$1,553",-07%
20,,21,"St. Catharines, ON",$1156,+8.4%,"$1,487","+9,3%"
21,,22,"Calgary, AB","$1,261",-3.8%,"$1,470",+2.0%
22,,23,"Kitchener, ON","$1,215",+2.1%,"$1,450",+5.3%
23,,24,"Saskatoon, SK","$1,148",4.3%,"$1,448",+2.8%
24,,25,"Fort McMurray, AB","$1,286",-3.3%,"$1,411",4.5%
25,,26,"Edmonton, AB","$1,093",-0.6%,"$1,319",11%
26,,27,"Hamilton, ON","$1,100",,"$1,310",+4.0%
27,,28,"London, ON","$1,022",+8.0%,"$1,265",+13.9%
28,,29,"Grande Prairie, AB","$1,052",-0.2%,"$1,262",+0.9%
29,,30,"Winnipeg, MB","$1,057",“1.0%,"$1,255",41.3%
30,,31,"Regina, SK","$1,105",+4.8%,"$1,222",-0.2%
31,,32,"Red Deer, AB","$1,079",+77%,$1181,+2.3%
32,,33,"Spruce Grove, AB","$1,071",-2.1%,"$1,175",+0.9%
33,,34,"Québec City, QC",$837,1.3%,"$1,066",-2.5%
